,Country,Abbr,Internet_Use_Perc_2011,Internet_Use_Perc_2012,Internet_Use_Perc_2013,Internet_Use_Perc_2014,Internet_Use_Perc_2015,Internet_Use_Perc_2016,Internet_Use_Perc_2017,Internet_Use_Perc_2018,Internet_Use_Perc_2019,IncomeGroup,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019
1,Albania,ALB,47.0,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.6,Upper middle income,2905195.0,2900401.0,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0,2866376.0,2854191.0,2.5,1.4,1.0,1.8,2.2,3.3,3.8,4.0,2.1
2,Algeria,DZA,14.9,18.2,22.5,29.5,38.2,42.9,47.7,49.0,57.5,Lower middle income,36661438.0,37383899.0,38140135.0,38923688.0,39728020.0,40551398.0,41389174.0,42228415.0,43053054.0,2.9,3.4,2.8,3.8,3.7,3.2,1.3,1.1,1.0
5,Angola,AGO,3.1,6.5,8.9,21.4,29.0,29.0,32.0,35.0,36.0,Lower middle income,24220660.0,25107925.0,26015786.0,26941773.0,27884380.0,28842482.0,29816769.0,30809787.0,31825299.0,3.5,8.5,5.0,4.8,0.9,-2.6,-0.1,-2.0,-0.6
8,Armenia,ARM,32.0,37.5,41.9,54.6,59.1,64.3,64.7,68.2,66.5,Upper middle income,2876536.0,2884239.0,2897593.0,2912403.0,2925559.0,2936147.0,2944789.0,2951741.0,2957728.0,4.7,7.2,3.3,3.6,3.2,0.2,7.5,5.2,7.6
11,Austria,AUT,78.7,80.0,80.6,81.0,83.9,84.3,87.9,87.5,87.8,High income,8391643.0,8429991.0,8479823.0,8546356.0,8642699.0,8736668.0,8797566.0,8840521.0,8879920.0,2.9,0.7,0.0,0.7,1.0,2.0,2.3,2.5,1.5
12,Azerbaijan,AZE,50.0,54.2,73.0,75.0,77.0,78.2,79.0,79.8,81.1,Upper middle income,9173082.0,9295784.0,9416801.0,9535079.0,9649341.0,9757812.0,9854033.0,9939771.0,10024283.0,0.1,2.2,5.8,2.8,1.1,-3.1,0.2,1.5,2.5
14,Bahrain,BHR,77.0,88.0,90.0,90.5,93.5,98.0,95.9,98.6,99.7,High income,1278153.0,1299942.0,1315029.0,1336073.0,1371853.0,1425793.0,1494077.0,1569440.0,1641164.0,2.0,3.7,5.4,4.4,2.5,3.6,4.3,2.1,2.1
15,Bangladesh,BGD,4.5,5.0,6.6,7.4,8.3,9.2,10.3,11.5,12.9,Lower middle income,149273134.0,151005733.0,152761413.0,154517385.0,156256287.0,157977151.0,159685421.0,161376713.0,163046173.0,6.5,6.5,6.0,6.1,6.6,7.1,7.3,7.9,8.2
17,Belarus,BLR,39.6,46.9,54.2,59.0,62.2,71.1,74.4,79.1,82.8,Upper middle income,9461643.0,9446836.0,9443211.0,9448515.0,9461076.0,9469379.0,9458989.0,9438785.0,9419758.0,5.4,1.7,1.0,1.7,-3.8,-2.5,2.5,3.1,1.4
18,Belgium,BEL,81.6,80.7,82.2,85.0,85.1,86.5,87.7,88.6,90.3,High income,11038264.0,11106932.0,11159407.0,11209057.0,11274196.0,11331422.0,11375158.0,11427054.0,11488980.0,1.7,0.7,0.5,1.6,2.0,1.3,1.6,1.8,2.1
20,Benin,BEN,4.1,4.5,4.9,6.0,11.3,12.0,13.3,26.0,29.0,Lower middle income,9460829.0,9729254.0,10004594.0,10286839.0,10575962.0,10872072.0,11175192.0,11485035.0,11801151.0,3.0,4.8,7.2,6.4,1.8,3.3,5.7,6.7,6.9
23,Bolivia,BOL,30.0,35.3,37.0,34.6,37.5,39.7,43.8,44.3,47.5,Lower middle income,10212951.0,10377677.0,10542375.0,10706517.0,10869732.0,11031822.0,11192853.0,11353140.0,11513102.0,5.2,5.1,6.8,5.5,4.9,4.3,4.2,4.2,2.2
24,Bosnia and Herzegovina,BIH,43.9,45.1,48.5,49.9,52.6,60.3,64.9,70.1,69.9,Upper middle income,3661173.0,3604972.0,3542598.0,3482106.0,3429362.0,3386263.0,3351534.0,3323929.0,3300998.0,1.0,-0.8,2.3,1.2,3.1,3.1,3.2,3.7,2.8
